source_id,spec_class,is_host,teff_gspphot,logg_gspphot,radius_gspphot,model_name,model_score,mlp_positive_proba,mlp_predicted_is_host
6193619230567475840,G,False,5414.611,4.7724,0.5454,baseline_mlp_small,0.0015264672364889225,0.0015264672364889225,False
6197014213240165120,G,False,5528.962,4.7507,0.572,baseline_mlp_small,0.0016193284088046184,0.0016193284088046184,False
6197262771584515584,G,False,5443.778,4.5804,0.7178,baseline_mlp_small,0.1141593624478507,0.1141593624478507,False
6197727452685611520,G,False,5550.536,4.7478,0.5706,baseline_mlp_small,0.0013908232145504436,0.0013908232145504436,False
6197750581091002112,G,False,5369.841,4.5521,0.7632,baseline_mlp_small,0.400072049170646,0.400072049170646,False
6198508415179787776,G,False,5809.952,4.7194,0.6172,baseline_mlp_small,0.0006452673996075482,0.0006452673996075482,False
6198569717251944704,G,False,5395.7505,4.6498,0.6418,baseline_mlp_small,0.01590747720563696,0.01590747720563696,False
6198997319896730368,G,False,5641.2417,4.6706,0.6452,baseline_mlp_small,0.0038203775774496105,0.0038203775774496105,False
6199360128675463936,G,False,5418.7144,4.6506,0.6405,baseline_mlp_small,0.013988148571166153,0.013988148571166153,False
6202139006874245888,G,False,5627.842,4.5092,0.7992,baseline_mlp_small,0.21808307974436142,0.21808307974436142,False
6202410758044858496,G,False,5385.6294,4.6249,0.6632,baseline_mlp_small,0.03008514129243496,0.03008514129243496,False
6203993642471995136,G,False,5369.8438,4.7163,0.5732,baseline_mlp_small,0.0028488382109251587,0.0028488382109251587,False
6204228010247899264,G,False,5342.6973,4.6854,0.5965,baseline_mlp_small,0.0052111928987331,0.0052111928987331,False
6204955092371068800,G,False,5281.228,4.5067,0.7974,baseline_mlp_small,0.44441473473912163,0.44441473473912163,False
6205228428388853376,G,False,5449.414,4.6241,0.6684,baseline_mlp_small,0.02793881797881786,0.02793881797881786,False
6207784926063713024,G,False,5403.0156,4.7584,0.5491,baseline_mlp_small,0.0016764665325576158,0.0016764665325576158,False
6208841664118211328,G,False,5741.591,4.2623,1.147,baseline_mlp_small,0.750024946090632,0.750024946090632,True
6211084496036720256,G,False,5547.298,4.3444,1.045,baseline_mlp_small,0.6768135200155857,0.6768135200155857,True
6212171015386234368,G,False,5723.5645,4.5422,0.8575,baseline_mlp_small,0.3691907281583341,0.3691907281583341,False
6215316550660167680,G,False,5285.26,4.4426,0.8854,baseline_mlp_small,0.5389224264274716,0.5389224264274716,True
6217252309594760576,G,False,5589.4346,4.5406,0.7884,baseline_mlp_small,0.2338769520566475,0.2338769520566475,False
6217278526075261440,G,False,5762.587,4.2815,1.1238,baseline_mlp_small,0.7653149242656501,0.7653149242656501,True
6218547736151607936,G,False,5296.0586,4.7836,0.5267,baseline_mlp_small,0.001412965390052324,0.001412965390052324,False
6223189496285554688,G,False,5751.538,4.7012,0.6212,baseline_mlp_small,0.00110992050121277,0.00110992050121277,False
6224046466820572928,G,False,5658.4624,4.6785,0.6108,baseline_mlp_small,0.0017205742533525597,0.0017205742533525597,False
6224463525330287744,G,False,5352.3,4.7728,0.543,baseline_mlp_small,0.0017377904638618453,0.0017377904638618453,False
6225222562005764608,G,False,5361.1396,4.7076,0.5917,baseline_mlp_small,0.004544303126910341,0.004544303126910341,False
6233061427076037376,G,False,5453.5474,4.6144,0.6718,baseline_mlp_small,0.02943759803328179,0.02943759803328179,False
6234856899503166720,G,False,5416.8584,4.6614,0.6247,baseline_mlp_small,0.008781918763865844,0.008781918763865844,False
6235032404747895424,G,False,5642.5146,4.5675,0.7402,baseline_mlp_small,0.044819302312908066,0.044819302312908066,False
6236370239822998016,G,False,5629.3315,4.5878,0.6952,baseline_mlp_small,0.01458180602543738,0.01458180602543738,False
6239140596806208896,G,False,5343.9644,4.1583,1.5031,baseline_mlp_small,0.4137969610226117,0.4137969610226117,False
6239399905452748672,G,False,5209.6987,4.3093,1.042,baseline_mlp_small,0.24705138095481277,0.24705138095481277,False
6242386767454634752,G,False,5578.4873,4.5677,0.8205,baseline_mlp_small,0.45526712235740063,0.45526712235740063,False
6250519545715843072,G,False,5404.235,4.7311,0.5596,baseline_mlp_small,0.0020088915722408767,0.0020088915722408767,False
6261377119966057088,G,False,5404.2437,4.6436,0.6416,baseline_mlp_small,0.01485501797255472,0.01485501797255472,False
6270924415648018176,G,False,5283.7627,4.7591,0.5516,baseline_mlp_small,0.002363554480215923,0.002363554480215923,False
6272081174896274944,G,False,5619.383,4.5502,0.7476,baseline_mlp_small,0.06705191664099494,0.06705191664099494,False
6278112266756537344,G,False,5543.7603,4.7402,0.5817,baseline_mlp_small,0.0018125144206857047,0.0018125144206857047,False
6281340815148512000,G,False,5316.3647,4.4448,0.9118,baseline_mlp_small,0.6415922156628656,0.6415922156628656,True
6284181364783453568,G,False,5204.513,4.77,0.5272,baseline_mlp_small,0.0016959857909068805,0.0016959857909068805,False
6284633023543532032,G,False,5794.968,4.7082,0.6295,baseline_mlp_small,0.0009258247854506947,0.0009258247854506947,False
6285105989638416512,G,False,5856.2437,4.6181,0.7299,baseline_mlp_small,0.004735746809994959,0.004735746809994959,False
6290776682203545984,G,False,5554.6484,4.7529,0.5694,baseline_mlp_small,0.0013208618261697882,0.0013208618261697882,False
6292091182713455360,G,False,5352.0645,4.7244,0.5933,baseline_mlp_small,0.005278731760779861,0.005278731760779861,False
6316494847589356032,G,False,5249.455,4.7395,0.5399,baseline_mlp_small,0.0018946422054448048,0.0018946422054448048,False
6320483738334884736,G,False,5518.7637,4.5474,0.7512,baseline_mlp_small,0.16376613074258015,0.16376613074258015,False
6325417551950972800,G,False,5264.2627,4.7541,0.5461,baseline_mlp_small,0.002165783217831507,0.002165783217831507,False
6326454876746301568,G,False,5686.9946,4.7266,0.5957,baseline_mlp_small,0.0010421027341452865,0.0010421027341452865,False
633055231420573952,G,False,5747.873,4.6881,0.6361,baseline_mlp_small,0.0015228452079504237,0.0015228452079504237,False
6333382933873677696,G,False,5381.979,4.3002,1.1136,baseline_mlp_small,0.48039051973296243,0.48039051973296243,False
6341645931259559680,G,False,5581.9463,4.6086,0.6718,baseline_mlp_small,0.011440140557126182,0.011440140557126182,False
6342346663764616064,G,False,5286.2983,4.3886,0.9406,baseline_mlp_small,0.4606245799635386,0.4606245799635386,False
6346324117014065280,G,False,5812.1406,4.4604,0.8449,baseline_mlp_small,0.14424025591657477,0.14424025591657477,False
6352018900051043072,G,False,5340.9375,4.7535,0.5586,baseline_mlp_small,0.0023972817166647135,0.0023972817166647135,False
6352970733523265536,G,False,5660.2734,4.1332,1.3556,baseline_mlp_small,0.6339032538924813,0.6339032538924813,True
6362531639961847296,G,False,5973.225,4.213,1.1731,baseline_mlp_small,0.6219195248985707,0.6219195248985707,True
6374897160044734720,G,False,5679.17,4.5772,0.7171,baseline_mlp_small,0.016744047329299388,0.016744047329299388,False
6380752265620692736,G,False,5724.0547,4.2951,1.2061,baseline_mlp_small,0.79497866593569,0.79497866593569,True
6397458726329750016,G,False,5598.9917,4.3564,1.0238,baseline_mlp_small,0.7327594858827879,0.7327594858827879,True
6401971431287861120,G,False,5985.0186,4.3061,1.0398,baseline_mlp_small,0.39461836025443847,0.39461836025443847,False
6402360280447029120,G,False,5384.745,4.4368,0.9678,baseline_mlp_small,0.734772263694974,0.734772263694974,True
641048092544109824,G,False,5534.468,4.655,0.6265,baseline_mlp_small,0.005241871020003978,0.005241871020003978,False
6415883341459530880,G,False,5873.888,4.6825,0.6335,baseline_mlp_small,0.0005603539003087972,0.0005603539003087972,False
6418227401468199680,G,False,5798.3,4.2548,1.1503,baseline_mlp_small,0.7571434660148277,0.7571434660148277,True
6418569727543457536,G,False,5210.9487,4.3906,0.9304,baseline_mlp_small,0.33753965580645817,0.33753965580645817,False
6423478050526811264,G,False,5509.969,4.5074,0.7909,baseline_mlp_small,0.3981287980858032,0.3981287980858032,False
6430647003779639552,G,False,5310.7964,4.5648,0.7431,baseline_mlp_small,0.2744250607045278,0.2744250607045278,False
6430822272805112704,G,False,5931.304,4.6748,0.6471,baseline_mlp_small,0.0005001445409875988,0.0005001445409875988,False
6432501605020469376,G,False,5946.38,4.2294,1.1526,baseline_mlp_small,0.6296214524212521,0.6296214524212521,True
6433560018101032832,G,False,5394.284,4.7262,0.5942,baseline_mlp_small,0.004661713964539458,0.004661713964539458,False
6433934268668912384,G,False,5328.6577,4.6543,0.6663,baseline_mlp_small,0.04721492858009895,0.04721492858009895,False
6440810270788461568,G,False,5578.2607,4.7558,0.5674,baseline_mlp_small,0.0011029961816119288,0.0011029961816119288,False
6441882359050621568,G,False,5219.154,4.7745,0.5352,baseline_mlp_small,0.001973014756016636,0.001973014756016636,False
6444080660751151488,G,False,5284.4414,4.7478,0.5582,baseline_mlp_small,0.002657449761691444,0.002657449761691444,False
6444889695151167232,G,False,5548.34,4.7273,0.5977,baseline_mlp_small,0.002443804090942094,0.002443804090942094,False
6445770751859079424,G,False,5505.812,4.6602,0.626,baseline_mlp_small,0.006306049565064122,0.006306049565064122,False
6447999771165648384,G,False,5743.7725,4.3633,1.0553,baseline_mlp_small,0.7613578868403894,0.7613578868403894,True
644904285980597248,G,False,5416.5073,4.7337,0.5595,baseline_mlp_small,0.0019380105142134004,0.0019380105142134004,False
6462789164631689984,G,False,5580.3286,4.7183,0.6121,baseline_mlp_small,0.002710599534884026,0.002710599534884026,False
6469215535217883776,G,False,5367.486,4.3932,1.0146,baseline_mlp_small,0.6525177848580003,0.6525177848580003,True
6471930882261978624,G,False,5339.3047,4.3854,1.0453,baseline_mlp_small,0.6274780386205208,0.6274780386205208,True
6472892469605066880,G,False,5763.897,4.6839,0.6177,baseline_mlp_small,0.0009519696884248562,0.0009519696884248562,False
6473060282567010304,G,False,5716.606,4.7166,0.6172,baseline_mlp_small,0.0013309908304642805,0.0013309908304642805,False
6473257614839646976,G,False,5283.1216,4.5542,0.7481,baseline_mlp_small,0.27463585694880766,0.27463585694880766,False
6474847920969971968,G,False,5622.5645,4.55,0.7684,baseline_mlp_small,0.11190227330656752,0.11190227330656752,False
6477610409576278528,G,False,5650.292,4.5605,0.7523,baseline_mlp_small,0.05751061536763415,0.05751061536763415,False
