source_id,spec_class,is_host,teff_gspphot,logg_gspphot,radius_gspphot,model_name,model_score,rf_positive_proba,rf_predicted_is_host
4679402951013963648,F,False,6190.5835,4.6712,0.6753,baseline_random_forest,0.006314605938666089,0.006314605938666089,False
4683354866386442240,F,False,6104.2207,4.1469,1.5244,baseline_random_forest,0.6816295693559724,0.6816295693559724,True
469014693635341184,F,False,6004.8145,4.4863,0.8553,baseline_random_forest,0.02478107562662281,0.02478107562662281,False
4692477209419766400,F,False,6026.9917,4.5347,0.777,baseline_random_forest,0.0026158445440956648,0.0026158445440956648,False
469772085349235584,F,False,7401.2837,4.2811,1.3477,baseline_random_forest,0.008930450482761754,0.008930450482761754,False
471312329333766016,F,False,7057.0513,4.1275,1.7615,baseline_random_forest,0.12335294354520944,0.12335294354520944,False
472473821633195904,F,False,6066.7705,4.2104,1.2741,baseline_random_forest,0.6982535424370561,0.6982535424370561,True
4731289042167383296,F,False,6214.8726,4.1209,1.2768,baseline_random_forest,0.21875337412306364,0.21875337412306364,False
4732257127796188928,F,False,6196.122,4.6891,0.6632,baseline_random_forest,0.004062353686413837,0.004062353686413837,False
473295191178866688,F,False,6711.976,4.272,1.3867,baseline_random_forest,0.008426240811523007,0.008426240811523007,False
4733084024963349760,F,False,6090.801,4.0556,1.8549,baseline_random_forest,0.351930409809513,0.351930409809513,False
4759513780530592896,F,False,6058.4297,4.2686,1.1366,baseline_random_forest,0.21224692803559297,0.21224692803559297,False
4762836504669480576,F,False,6137.5474,4.2018,1.1616,baseline_random_forest,0.18037800407425103,0.18037800407425103,False
4763977209327553536,F,False,6092.4097,4.5786,0.742,baseline_random_forest,0.0,0.0,False
4777785739638297216,F,False,6428.5195,4.2224,1.3834,baseline_random_forest,0.4488091104486964,0.4488091104486964,False
4779119236789477376,F,False,6083.546,4.7048,0.6417,baseline_random_forest,0.03317531074255646,0.03317531074255646,False
4782485670811340672,F,False,6024.342,4.3438,0.994,baseline_random_forest,0.19155174477961076,0.19155174477961076,False
478547803041508864,F,False,6064.5327,4.0382,1.4893,baseline_random_forest,0.25500465737921924,0.25500465737921924,False
4794399875730422784,F,False,6016.083,4.4945,0.7879,baseline_random_forest,0.0,0.0,False
479859451690715136,F,False,6324.478,4.4558,0.9831,baseline_random_forest,0.010432639842384147,0.010432639842384147,False
4798955045029449728,F,False,6143.615,4.6808,0.6719,baseline_random_forest,0.002845528455284553,0.002845528455284553,False
4800874964129571200,F,False,6012.5103,4.7163,0.6269,baseline_random_forest,0.0,0.0,False
4803716862386807808,F,False,6006.338,4.4912,0.7963,baseline_random_forest,0.0,0.0,False
4809917725713614720,F,False,6570.625,4.5887,0.7887,baseline_random_forest,0.009818976917534392,0.009818976917534392,False
4815486133633461888,F,False,7405.746,4.387,1.0434,baseline_random_forest,0.0019774011299435027,0.0019774011299435027,False
4836514877629913600,F,False,6165.157,4.6972,0.6535,baseline_random_forest,0.0,0.0,False
484015502566005888,F,False,6182.1475,4.4708,0.9494,baseline_random_forest,0.24180122720982739,0.24180122720982739,False
484451493287257088,F,False,6019.6343,4.4923,0.8159,baseline_random_forest,0.004205308667619733,0.004205308667619733,False
4848010825750094336,F,False,6063.434,4.52,0.8017,baseline_random_forest,0.0045141949395202455,0.0045141949395202455,False
486087738386602624,F,False,6755.427,4.1692,1.5176,baseline_random_forest,0.1703285171480534,0.1703285171480534,False
4862121953684918912,F,False,6055.9224,4.5951,0.7447,baseline_random_forest,0.0032076459806232,0.0032076459806232,False
486226929686805632,F,False,6026.1777,4.2207,1.1541,baseline_random_forest,0.24192466636704224,0.24192466636704224,False
486915979880523008,F,False,6734.1655,4.2821,1.3735,baseline_random_forest,0.014966874564040505,0.014966874564040505,False
