source_id,spec_class,evolution_stage,teff_gspphot,logg_gspphot,radius_gspphot,router_label
225728053556495488,M,dwarf,3600.295,4.4562,0.4504,M_dwarf
4254789152558288768,M,dwarf,3524.4956,4.4785,0.2927,M_dwarf
1963681484644427136,M,dwarf,3283.766,4.9192,0.3364,M_dwarf
1188164464345279872,M,dwarf,3740.9207,4.8284,0.4264,M_dwarf
4207713523557700224,M,dwarf,3679.1418,4.3806,0.3274,M_dwarf
4260507880035834240,M,dwarf,3673.2107,4.0498,0.725,M_dwarf
6486922100535568256,M,dwarf,3295.8303,4.6073,0.2707,M_dwarf
2178731012551343232,M,dwarf,3838.0847,4.9094,0.3583,M_dwarf
2512245496643503872,M,dwarf,3586.356,4.725,0.3487,M_dwarf
4264310614039211520,M,dwarf,3874.7651,4.6063,0.27,M_dwarf
4152161488840618752,M,dwarf,3556.4744,4.4229,0.4553,M_dwarf
5236504941401668992,M,dwarf,3709.4597,4.9834,0.2942,M_dwarf
1155516936164348544,M,dwarf,3512.1206,4.7185,0.4556,M_dwarf
5142335378241625344,M,dwarf,3728.7559,4.6108,0.5317,M_dwarf
1563237494379182720,M,dwarf,3389.6897,4.1521,0.992,M_dwarf
3026291578044021632,M,dwarf,3540.6519,4.6331,0.3278,M_dwarf
6102392922614484608,M,dwarf,3533.0212,4.6105,0.3042,M_dwarf
3049557965642606464,M,dwarf,3842.0964,4.9703,0.3039,M_dwarf
2153578618910254720,M,dwarf,3384.6914,4.4555,0.5997,M_dwarf
4162920381911778432,M,dwarf,3947.8828,4.8761,0.3888,M_dwarf
2074763774317350912,M,dwarf,3651.5227,4.4286,0.3449,M_dwarf
4225974693706279936,M,dwarf,3654.7336,4.45,0.5898,M_dwarf
3157425553888319104,M,dwarf,3769.897,4.6652,0.3431,M_dwarf
2757658557843051136,M,dwarf,3555.4534,4.2617,0.8147,M_dwarf
4107154496483877120,M,dwarf,3684.0352,4.6265,0.3199,M_dwarf
5932047445939862016,M,dwarf,3766.864,5.1533,0.1785,M_dwarf
4266561756698540544,M,dwarf,3867.2869,4.4569,0.7976,M_dwarf
4148439543257090176,M,dwarf,3738.73,4.3589,0.7357,M_dwarf
2182199048325642752,M,dwarf,3763.8254,4.8726,0.3865,M_dwarf
5836282216557971328,M,dwarf,3878.711,4.3032,0.4112,M_dwarf
4094911808163674496,M,dwarf,3875.2246,4.0728,1.1058,M_dwarf
5834581920521360128,M,dwarf,3920.075,5.0456,0.2508,M_dwarf
3112302799272971264,M,dwarf,3464.2097,4.6504,0.3033,M_dwarf
6072287439571315968,M,dwarf,3967.5676,4.5749,0.3422,M_dwarf
4261810736928245120,M,dwarf,3986.8208,4.8431,0.4193,M_dwarf
2713655892045641344,M,dwarf,3414.0913,4.4723,0.5864,M_dwarf
4077037219458555520,M,dwarf,3992.2852,5.0135,0.2833,M_dwarf
1973572210217352832,M,dwarf,3418.7332,4.5339,0.5126,M_dwarf
6026494940635651968,M,dwarf,3466.1843,4.6576,0.3019,M_dwarf
1810832394669403904,M,dwarf,3597.9595,4.415,0.6024,M_dwarf
2074962025702189696,M,dwarf,3698.575,4.4235,0.4528,M_dwarf
4036773034934254976,M,dwarf,3957.5696,5.0292,0.2628,M_dwarf
