source_id,predicted_spec_class,predicted_evolution_stage,gauss_label,router_similarity,router_log_posterior,posterior_margin,host_log_lr,host_posterior,class_prior,distance_factor,quality_factor,metallicity_factor,final_score,priority_tier,reason_code,ra,dec,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot,parallax,parallax_over_error,ruwe
3921056793355190016,K,dwarf,K,0.6106185321337501,4.927121325124453,6.7511104574933825,1.875537190230527,0.8670976774344846,1.08,0.9,0.98,1.0,0.8259625636169926,HIGH,HOST_SCORING,184.13531,13.988099,4709.467,4.5797,0.7108,-0.1746,7.351164,404.54062,1.155411
2378370266515379584,K,dwarf,K,0.4916675119848488,4.595972320761067,3.8464997947211415,2.2955572180275183,0.9085084206981576,1.08,0.8,1.0,1.05,0.8241988392573687,HIGH,HOST_SCORING,349.36096,-27.949217,4865.13,4.5672,0.7967,0.5576,2.9568994,179.6053,0.94415796
5390849161014818048,K,dwarf,K,0.40830653338796413,4.0804377026127145,1.1648393794057648,2.5113590226985165,0.9249343031110496,1.08,0.8,1.0,1.03,0.8231175350245855,HIGH,HOST_SCORING,161.98001,-44.413853,5035.7705,4.5414,0.8271,0.2446,4.3407283,392.65512,0.909521
1166088057566740096,K,dwarf,K,0.4763545148698162,4.52623677412584,4.695785335195831,2.482154901329244,0.9228813050384841,1.08,0.8,1.0,1.03,0.8212905309798478,HIGH,HOST_SCORING,233.85353,10.750924,4820.8203,4.5328,0.8319,0.3696,2.0831752,103.05756,0.9560231
6135241970661017472,K,dwarf,K,0.483506428424095,4.559889415902198,4.502100010260113,2.4583786933842497,0.921172013414357,1.08,0.8,1.0,1.03,0.8197693981777047,HIGH,HOST_SCORING,193.77827,-45.27145,4830.7896,4.5416,0.8202,0.3967,2.0774612,98.32176,0.99222726
2145273492190347008,M,dwarf,M_LATE,0.20825264215219041,-1.6631374436012378,5.75153005774172,7.527168705928056,0.999462029494175,1.02,0.8,1.0,1.0,0.8155610160672468,HIGH,HOST_SCORING,278.66043,51.655457,3019.2988,4.7925,0.3264,0.0691,4.7001896,34.860348,1.0488138
2120688828806730496,K,dwarf,K,0.6238083571390246,4.948603027184541,8.875987026782864,1.4770243224012876,0.8141227014025983,1.08,0.9,1.0,1.03,0.8150670837362255,HIGH,HOST_SCORING,279.23947,48.906185,4589.875,4.6339,0.704,0.396,7.4237366,783.3633,1.0508465
417872314714045056,K,dwarf,K,0.5163139511939138,4.691638741986381,6.706692969061599,1.474472781845578,0.8137362750976491,1.08,0.9,1.0,1.03,0.8146802091767624,HIGH,HOST_SCORING,10.434837,53.9464,4422.3076,4.6206,0.6955,0.4768,6.1302524,423.94025,1.0242848
5413683822804812544,K,dwarf,K,0.3666946553039473,3.6390655552429494,0.19721018326604245,2.747822138931496,0.9397902345070339,1.08,0.8,1.0,1.0,0.8119787626140774,HIGH,HOST_SCORING,152.46996,-46.783318,5107.199,4.4914,0.8705,-0.0748,3.0863447,284.13336,0.9364247
6053640233437215104,K,dwarf,K,0.36923044053569104,3.671236050311492,0.6616029040576734,2.7448031551712346,0.9396191796877003,1.08,0.8,1.0,1.0,0.8118309712501731,HIGH,HOST_SCORING,188.37097,-63.290817,5076.1333,4.4749,0.8889,-0.136,2.072134,109.369484,0.9952037
