source_id,ra,dec,parallax,parallax_over_error,ruwe,bp_rp,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot,validation_factor,predicted_spec_class,predicted_evolution_stage,router_label,d_mahal_router,router_similarity,router_log_likelihood,router_log_posterior,second_best_label,margin,posterior_margin,router_model_version,run_id
2040342222772002304,284.40262,28.345797,0.6178654,22.317259,0.99727,1.0407667,5243.531,4.3625,1.0834,-0.3225,1.0,G,dwarf,G_dwarf,2.0200320782673744,0.331122310652313,6.290534568112697,3.651477238497439,K_dwarf,0.5182655333512782,1.742513063071205,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2040362799954320256,284.31104,28.629538,2.8555927,18.427965,0.94638586,2.9487114,3207.7556,4.9325,0.3206,0.0382,1.0,M,dwarf,M_dwarf,3.029810948895186,0.24815059879525125,3.61311183412829,0.9740545045130315,K_dwarf,1.4827119970508713,6.02504461535716,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2040412488435020288,283.3381,28.001343,0.77499044,13.113593,0.9871163,1.2637329,4506.794,4.4083,0.8647,-0.9015,1.0,K,dwarf,K_dwarf,1.5344579702715322,0.3945616821149588,6.592218256351055,3.9531609267357966,B_dwarf,1.4321118986983348,6.201209945992242,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2040415890049195136,283.39273,28.14562,0.7892028,25.519148,1.0637257,1.1541338,5028.4336,4.3727,1.0021,-0.6784,1.0,K,dwarf,K_dwarf,1.988346266703942,0.3346332421854749,5.792738449458219,3.1536811198429606,G_dwarf,0.6105046019206921,1.5695913716314784,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2040794671807566336,285.19278,29.547585,0.43361282,39.03529,1.0113422,1.389925,4757.0386,2.7631,8.6141,0.1482,1.0,K,evolved,K_evolved,0.6847217110162086,0.5935698421057382,3.3613431767111703,0.7222858470959119,G_evolved,2.9312719806605427,5.284207624424288,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2040815253291510144,285.7205,29.747557,0.61873806,18.159533,0.9924127,0.9385023,5559.8774,4.5273,0.7853,-0.4267,1.0,G,dwarf,G_dwarf,0.4241375799995215,0.7021793498352428,8.240853023343377,5.601795693728118,F_dwarf,1.919467731980104,3.3958466251611914,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2040931423566319616,285.78607,30.036304,0.5581956,12.81761,1.117438,1.0597334,5294.9014,4.6262,0.6544,-0.7744,1.0,G,dwarf,G_dwarf,1.0177601624759536,0.4955990402610188,7.812881492565762,5.173824162950504,K_dwarf,1.0319584430687416,2.1440557859078377,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2041085355193481344,284.64154,30.122538,1.2152419,13.382195,1.0106691,1.7903576,3889.8313,4.7712,0.482,-0.4165,1.0,M,dwarf,M_dwarf,1.1011753868638812,0.4759240976511507,7.596695410833454,4.957638081218196,K_dwarf,1.2400653293351704,2.567900568811608,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2041656963800310912,282.0501,30.298752,0.75962,11.448536,0.9799831,1.4447422,4502.6743,4.6213,0.6916,0.1974,1.0,K,dwarf,K_dwarf,0.7210320834782169,0.5810466926212052,7.509555254913502,4.870497925298244,M_dwarf,2.926565622204887,8.460305537705937,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2041668538732254720,281.8433,30.432138,1.2042646,17.3427,1.0015293,1.6824474,4422.1133,4.667,0.6624,0.4199,1.0,K,dwarf,K_dwarf,0.8733232430555328,0.5338107044296979,7.388152144185454,4.749094814570196,M_dwarf,2.978280784563713,6.602589909820988,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
