source_id,ra,dec,parallax,parallax_over_error,ruwe,bp_rp,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot,validation_factor,predicted_spec_class,predicted_evolution_stage,router_label,d_mahal_router,router_similarity,router_log_likelihood,router_log_posterior,second_best_label,margin,posterior_margin,router_model_version,run_id,gauss_label,host_log_likelihood,field_log_likelihood,host_log_lr,host_posterior,class_prior,reliability_factor,quality_factor,followup_factor,metallicity_factor,color_factor,host_score,final_score,d_mahal,similarity,priority_tier,reason_code,host_model_version
1885562012417527296,347.68332,30.180538,0.69019413,24.261103,0.9728246,0.77542305,6146.935,4.3267,1.1101,-0.8763,1.0,F,dwarf,F_dwarf,0.8389760268549847,0.5437808788134119,7.239308940533055,4.600251610917796,G_dwarf,1.3149421299831272,3.486017854649313,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,F,-0.6387306924967819,-1.0202626460938002,0.3815319535970183,0.5942425383135514,0.65,1.0,1.0,0.65,0.7,0.75,0.2703803549326659,0.1318104230296746,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1862845552443345664,311.3413,31.953247,0.55865407,23.006907,1.0149941,0.96196747,6606.5054,4.2077,1.3163,-0.6239,1.0,F,dwarf,F_dwarf,0.7403571001894854,0.5745947196073281,7.317185009451252,4.678127679835994,F_evolved,0.8120557922117583,5.10198954031417,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,F,-0.9632732392855481,-0.942386577175601,-0.020886662109947052,0.49477852429468594,0.65,1.0,1.0,0.65,0.7,0.9,0.2251242285540821,0.13169767370413804,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1802900453378821504,301.82648,11.921215,0.6671929,11.736144,0.9812615,1.3876648,5018.858,4.7,0.5871,-0.8588,1.0,K,dwarf,K_dwarf,1.170772393263564,0.46066552306600345,7.084144889201924,4.445087559586666,G_dwarf,1.0861262778799954,1.300141328379405,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,K,-1.9432914937613472,-1.1754266974249323,-0.7678647963364149,0.31694117458233484,0.95,0.96,0.96,0.65,0.7,1.0,0.21076588109725267,0.13151790980468567,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1498028277233989504,212.20204,40.519463,1.5279148,21.016657,1.0293672,1.8081226,3682.9512,4.4089,0.4791,-1.3121,1.0,M,dwarf,M_dwarf,1.0324533116952481,0.49201622209265433,7.670009106735621,5.030951777120363,K_dwarf,2.2885729602198004,7.245434405668416,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_EARLY,-1.2319010710391156,-0.32941150073801984,-0.9024895703010958,0.28853915871864694,1.0,1.0,1.0,0.65,0.7,1.0,0.20197741110305284,0.13128531721698436,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1933835417602099584,340.29767,42.78088,0.53188175,14.818179,0.9898448,1.1222019,5432.016,4.548,0.7713,-0.3151,1.0,G,dwarf,G_dwarf,0.447798205948281,0.690703991683025,8.230537750102052,5.591480420486793,K_dwarf,2.042783668591553,3.562537899379256,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-0.6765142042309575,-0.029033836524802847,-0.6474803677061547,0.3435575551178137,0.8,0.96,0.96,0.65,0.85,0.9,0.23361913748011334,0.13120050760883165,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
172511763787134208,66.93293,32.952785,1.2638862,11.717557,0.9699839,1.7681026,3989.9824,4.773,0.4834,-0.5363,1.0,M,dwarf,M_dwarf,1.5332667414536545,0.3947472185365581,7.027535576926909,4.388478247311651,K_dwarf,0.4987216855655927,1.3225251730810164,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_EARLY,-1.9456326790457226,-1.0995847694868657,-0.8460479095588569,0.3002625552760056,1.0,0.96,0.96,0.65,0.7,1.0,0.2101837886932039,0.13115468414455922,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
408678374581417472,27.96426,55.488293,0.97399247,31.505758,1.1705225,1.1407175,5895.2285,4.4415,0.8658,-0.6992,1.0,G,dwarf,G_dwarf,1.9026037041422033,0.3445182677101029,6.520848939219485,3.881791609604227,F_dwarf,0.3545312884318632,0.12786371400936591,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-2.074368607163008,-1.7387226474073771,-0.33564595975563094,0.41686751166731123,0.8,0.96,0.96,0.65,0.7,0.9,0.23344580653369426,0.1311031649493227,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
2077636110997985408,293.39813,42.09196,0.7743951,29.997795,1.0128493,0.9259529,5584.337,4.5076,0.8015,-0.4364,1.0,G,dwarf,G_dwarf,0.5603633792781216,0.6408763582125562,8.173795808309304,5.534738478694045,F_dwarf,1.6930436520431709,3.12146810536168,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-0.49493667340581293,-0.08577577831755612,-0.4091608950882568,0.39911333982471997,0.8,1.0,1.0,0.65,0.7,0.9,0.22350347030184317,0.13074953012657825,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
183054705911115776,82.38501,35.04308,0.8983584,22.942602,0.9789196,1.0761824,5709.7466,4.4879,0.8224,-0.5185,1.0,G,dwarf,G_dwarf,1.0506552812001886,0.48764900135469347,7.778861106770378,5.1398037771551195,F_dwarf,0.9126420028870852,2.1148798922708667,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-0.8901899628584358,-0.4807104798564805,-0.40947948300195525,0.39903693792803874,0.8,1.0,1.0,0.65,0.7,0.9,0.2234606852397017,0.1307245008652255,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
179965662350219520,66.322136,40.472424,1.6867708,12.644401,0.96958464,2.3305397,3864.6978,4.7135,0.4469,-1.0533,1.0,M,dwarf,M_dwarf,0.790942240398435,0.5583652992502582,7.890194213327615,5.251136883712357,K_dwarf,1.643206705705149,3.083235871620239,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_EARLY,-0.8186025598070374,0.03458981806484829,-0.8531923778718857,0.2987636124896658,1.0,0.96,0.96,0.65,0.7,1.0,0.20913452874276606,0.13049994593548603,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1969880604228350464,318.15338,43.09094,0.5722268,15.471842,0.98287994,1.236373,5731.249,4.478,0.833,-0.5204,1.0,G,dwarf,G_dwarf,1.1506376334488824,0.4649783787128956,7.668815884972879,5.0297585553576205,F_dwarf,0.7525669431581226,1.8886603878300599,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-0.9353081288390701,-0.590755701653984,-0.34455242718508616,0.4147040636554632,0.8,0.96,0.96,0.65,0.7,0.9,0.2322342756470594,0.13042276920338858,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1232374074551462272,214.73521,16.215466,1.8429704,120.2622,0.98187095,0.7942114,5806.649,4.4401,0.8796,-0.5055,1.0,G,dwarf,G_dwarf,1.4972685687899667,0.400437507001717,7.209892783184124,4.570835453568865,F_dwarf,0.1973629435529387,1.0545314371451808,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-1.1390418680801213,-1.0496788034427358,-0.08936306463738553,0.4776740893056295,0.8,1.0,1.0,0.65,0.7,0.75,0.26749749001115253,0.13040502638043688,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
535383105268477568,21.763847,72.60384,0.40774733,10.233211,0.98607266,1.2112494,5765.3115,4.473,0.851,-0.4793,1.0,G,dwarf,G_dwarf,1.275965219366068,0.4393740253546288,7.516755746211353,4.877698416596095,F_dwarf,0.5439714721337521,1.5815911993932654,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-1.088140715825071,-0.7428158404155099,-0.34532487540956125,0.4145165838283998,0.8,0.96,0.96,0.65,0.7,0.9,0.2321292869439039,0.13036380754769641,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1848515544371701888,320.23172,28.867802,3.5817103,25.843376,1.0365591,2.7823772,3329.949,4.8893,0.2972,-0.4142,1.0,M,dwarf,M_dwarf,2.330647681118564,0.30024190360001096,5.487029720399193,2.847972390783935,K_dwarf,1.7521543752807647,6.052167148652518,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_MID,-0.21198426961520944,0.7007980760910271,-0.9127823457062365,0.2864308208454275,1.0,1.0,1.0,0.65,0.7,1.0,0.20050157459179924,0.1303260234846695,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
966185638065913856,101.69413,46.18783,0.79566693,31.749645,1.0044091,0.8142319,6127.4375,4.3636,1.0887,-0.3426,1.0,F,dwarf,F_dwarf,0.8635131437244867,0.5366208461515666,7.2184218526592705,4.579364523044012,G_dwarf,1.4131317114379738,3.176630726423055,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,F,-1.1064376188042768,-1.0411497339675828,-0.06528788483669401,0.48368382403155713,0.65,1.0,1.0,0.65,0.85,0.75,0.26723531277743534,0.13027721497899974,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1006794455066624512,97.67969,62.104164,0.5710703,13.48512,1.1969389,1.0555067,5749.6626,4.4683,0.846,-0.51,1.0,G,dwarf,G_dwarf,1.2324425942692645,0.44793984963690653,7.571341992642724,4.932284663027465,F_dwarf,0.6165902604047797,1.6895539141230027,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-0.9621963757976095,-0.6882295939841345,-0.273966781813475,0.4319335162702201,0.8,0.92,0.92,0.65,0.7,0.9,0.24188276911132323,0.13018130633571418,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
422128425449665408,5.587777,58.18401,4.6542497,450.57526,0.91380847,1.068512,5204.1763,4.5797,0.7798,0.0222,1.0,G,dwarf,G_dwarf,1.4589250290391274,0.4066817768701022,7.266568246548893,4.627510916933634,K_dwarf,0.3370244095738084,1.109786551959981,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-1.8749309301065615,-0.9930033400779532,-0.8819275900286083,0.292778494199659,0.8,1.0,1.0,0.65,0.95,0.9,0.22251165559174085,0.13016931852116842,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1857261579562294016,308.8451,27.889902,2.3252842,96.06493,1.2729666,0.5508957,6666.638,4.208,1.4292,-0.3802,1.0,F,dwarf,F_dwarf,0.7278774723104575,0.5787447408888519,7.326346520003213,4.687289190387954,A_dwarf,0.8459489593428731,4.7210100493000215,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,F,-0.919915416617467,-0.9332250666236388,0.013309650006171792,0.503327363382378,0.65,0.96,0.96,0.65,0.85,0.75,0.2780883682687639,0.1301453563497815,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1821549029615705600,297.21396,18.442633,0.50890905,11.964623,1.0409629,1.0928364,5794.3,4.4655,0.8426,-0.5935,1.0,G,dwarf,G_dwarf,1.4387005004701459,0.4100544531020576,7.2958698017007775,4.6568124720855195,F_dwarf,0.32508842531851045,1.2600961617163855,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-1.311896444425897,-0.96370178492608,-0.34819465949981687,0.4138202798019857,0.8,0.96,0.96,0.65,0.7,0.9,0.23173935668911202,0.1301448227166053,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1978898729884748032,324.6407,49.385704,0.60663784,13.9747505,1.1000443,1.0536413,5153.5923,4.473,0.8488,-0.6597,1.0,G,dwarf,G_dwarf,1.959882043085222,0.3378513013166071,6.41023055532335,3.771173225708092,K_dwarf,0.10958371249953092,0.35253362379147735,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-2.1259116896268613,-1.8493410313034953,-0.276570658323366,0.43129472460120133,0.8,0.92,0.92,0.65,0.7,0.9,0.24152504577667275,0.12998877963700528,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
506263227006232576,29.157286,58.79047,0.86245656,12.5186205,0.96533674,1.4578075,4781.0547,4.7174,0.5482,-0.9683,1.0,K,dwarf,K_dwarf,0.47824477015235667,0.676477955607402,7.6551398575269305,5.0160825279116725,G_dwarf,2.9001895966672704,5.031249876253597,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,K,-1.3965088851524072,-0.604431729099923,-0.7920771560524842,0.31172283783774696,0.95,0.96,0.96,0.65,0.7,1.0,0.20729568716210173,0.12935250878915147,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
2009041493250168320,346.82126,56.249863,2.0357492,16.1535,0.98882055,2.617962,3418.4424,4.6033,0.3977,-0.7068,1.0,M,dwarf,M_dwarf,1.613311296155359,0.38265628800945983,6.9016023579996215,4.262545028384363,K_dwarf,2.181962289325158,7.10686077141256,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_MID,0.2824154226538096,1.1502082501828284,-0.8677928275290188,0.2957137761360557,1.0,0.96,0.96,0.65,0.7,1.0,0.20699964329523898,0.12916777741622912,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
