observation_priority,rank_in_priority,source_id,ra,dec,predicted_spec_class,predicted_evolution_stage,host_like_percent,host_like_profile,final_score,reason_code
1,74,241502441941313920,50.84471,44.786755,K,dwarf,83.95,K,0.5184055356311784,HOST_SCORING
1,75,2074526760853918080,302.57068,40.998985,K,dwarf,88.34,K,0.5182453688275827,HOST_SCORING
1,76,1993683278616492160,359.59064,54.8822,K,dwarf,88.3,K,0.5179731385107196,HOST_SCORING
1,77,103810184178476544,31.469906,23.398155,K,dwarf,83.88,K,0.5179531498803476,HOST_SCORING
1,78,1410965549228854784,246.17868,47.8946,K,dwarf,93.18,K,0.5178352048148557,HOST_SCORING
1,79,1031890945409209984,125.98987,53.00769,K,dwarf,83.85,K,0.5177928787291047,HOST_SCORING
1,80,2031164015155037056,295.633,27.799543,K,dwarf,87.29,K,0.5174844686511234,HOST_SCORING
1,81,2066829350502903808,312.5225,43.56298,K,dwarf,83.8,K,0.5174388557099654,HOST_SCORING
1,82,941713258012580224,98.854866,34.77699,K,dwarf,83.71,K,0.5168843500168496,HOST_SCORING
1,83,1920429553361321344,355.38574,40.390972,K,dwarf,92.98,K,0.5167344653276227,HOST_SCORING
1,84,1554416941520632704,197.89276,47.635273,K,dwarf,83.65,K,0.5165517085234672,HOST_SCORING
1,85,74442061097109888,36.632698,13.019806,K,dwarf,92.94,K,0.5165205234030511,HOST_SCORING
1,86,1753907035568134016,306.2046,10.574936,K,dwarf,91.67,K,0.5162584588303951,HOST_SCORING
1,87,1425634511811491968,250.79475,53.071575,K,dwarf,87.99,K,0.516200522204707,HOST_SCORING
1,88,1530817333180151168,195.13995,46.214306,K,dwarf,92.87,K,0.5161251784676275,HOST_SCORING
1,89,935387050357837312,122.68018,51.17307,K,dwarf,87.05,K,0.5160532211891946,HOST_SCORING
1,90,1826748998062473728,298.44943,21.682934,K,dwarf,83.56,K,0.5159783120691782,HOST_SCORING
1,91,2063140768168536960,309.72626,38.23334,K,dwarf,87.9,K,0.5156651367538394,HOST_SCORING
1,92,560179497654790016,27.96865,75.93471,K,dwarf,83.5,K,0.5156038501925602,HOST_SCORING
1,93,1902179550124844544,336.11337,33.738182,K,dwarf,92.73,K,0.5153702387140832,HOST_SCORING
1,94,1088575820702611840,115.89347,63.705254,K,dwarf,86.83,K,0.5147042316390615,HOST_SCORING
1,95,668468611167630848,118.90133,18.291843,K,dwarf,86.82,K,0.5146905572567798,HOST_SCORING
1,96,1041947765953033728,128.45901,61.46143,K,dwarf,83.16,K,0.5134917400465404,HOST_SCORING
1,97,550740946244845312,60.74449,75.328125,K,dwarf,87.45,K,0.5129876677873002,HOST_SCORING
1,98,213796844863929344,82.24085,50.178406,K,dwarf,87.44,K,0.5129606806905245,HOST_SCORING
1,99,1204780215346538112,242.1163,20.281816,K,dwarf,87.44,K,0.5129231008941382,HOST_SCORING
1,100,1166088057566740096,233.85353,10.750924,K,dwarf,92.29,K,0.5128912852751376,HOST_SCORING
1,101,1795402505616665728,331.2128,24.273891,K,dwarf,92.11,K,0.5118865004991147,HOST_SCORING
1,102,1697406813803670400,233.05168,73.36501,K,dwarf,86.26,K,0.511359826781627,HOST_SCORING
1,103,504756415039991424,27.930788,55.58543,K,dwarf,82.78,K,0.5111579698036042,HOST_SCORING
1,104,326859075789951872,36.170643,34.402794,K,dwarf,87.13,K,0.5111420073625889,HOST_SCORING
1,105,2000435310808518400,338.55374,51.734646,K,dwarf,82.75,K,0.5109984362362527,HOST_SCORING
1,106,427228681936368896,9.751943,61.149364,K,dwarf,87.1,K,0.5109601662716291,HOST_SCORING
1,107,472736093813153408,68.143394,62.639107,K,dwarf,87.09,K,0.5109156313994265,HOST_SCORING
1,108,1880819642671713792,339.003,26.120083,K,dwarf,86.12,K,0.5105275085896772,HOST_SCORING
1,109,565350603919041792,23.253864,79.30765,K,dwarf,82.65,K,0.5103795359761488,HOST_SCORING
1,110,1357309725390354816,251.00694,42.31179,K,dwarf,86.92,K,0.5098955979441133,HOST_SCORING
1,111,788113961810189696,179.24876,50.81305,K,dwarf,82.54,K,0.5096969766756285,HOST_SCORING
1,112,231638173373335168,60.182003,43.750305,K,dwarf,86.86,K,0.5095707735040382,HOST_SCORING
1,113,1388511013528343040,229.97585,39.28549,K,dwarf,91.68,K,0.5095107240201736,HOST_SCORING
1,114,2004314593995133568,333.327,52.524952,K,dwarf,86.84,K,0.5094527022171642,HOST_SCORING
1,115,556207786776861056,68.471756,78.57293,K,dwarf,85.93,K,0.5094163073956338,HOST_SCORING
1,116,1733584178036277504,318.6214,6.303517,K,dwarf,90.4,K,0.5090907004905272,HOST_SCORING
1,117,673561823905662080,118.87798,21.16228,K,dwarf,85.86,K,0.5089741903980022,HOST_SCORING
1,118,703598832308190208,131.27493,28.058811,K,dwarf,85.85,K,0.5089413337255502,HOST_SCORING
1,119,294506839495246336,19.435362,25.270956,K,dwarf,86.76,K,0.508932094265551,HOST_SCORING
1,120,387719071612289920,8.876177,43.78465,K,dwarf,86.64,K,0.508253368401397,HOST_SCORING
1,121,1627860676122238336,237.4253,61.94005,K,dwarf,82.3,K,0.508205859543676,HOST_SCORING
1,122,1409765054329842048,246.53954,46.440887,K,dwarf,82.29,K,0.5081267679206627,HOST_SCORING
1,123,127949588304576128,39.86153,28.23981,K,dwarf,86.59,K,0.5079754559359805,HOST_SCORING
1,124,393684609391657088,3.074015,49.5308,K,dwarf,82.23,K,0.5077815245234769,HOST_SCORING
1,125,1420410216671981440,259.33615,55.23463,K,dwarf,86.56,K,0.507765795769282,HOST_SCORING
1,126,2026732742736497920,298.187,25.529444,K,dwarf,82.14,K,0.5072422957821736,HOST_SCORING
1,127,1631059258526296960,259.8269,63.580162,K,dwarf,86.34,K,0.5065082532185367,HOST_SCORING
1,128,1933284184319726464,338.92465,41.366184,K,dwarf,89.94,K,0.5064963833822902,HOST_SCORING
1,129,1554206453762990720,197.12291,47.234123,K,dwarf,81.98,K,0.5062533520509856,HOST_SCORING
1,130,410401996496342400,21.71023,53.16564,K,dwarf,89.85,K,0.5059744960270622,HOST_SCORING
1,131,1117780189566773760,137.36595,69.326546,K,dwarf,85.31,K,0.5056985894950145,HOST_SCORING
1,132,2034379502533178496,299.3068,33.073677,K,dwarf,81.84,K,0.5053524664445802,HOST_SCORING
1,133,142992109964443776,43.71387,37.33028,K,dwarf,64.83,K,0.5050167358054289,HOST_SCORING
1,134,1887775879081016064,342.89783,30.122347,K,dwarf,81.78,K,0.5049725257038774,HOST_SCORING
1,135,2049552969119870464,288.97375,34.71457,K,dwarf,90.79,K,0.5045494922309359,HOST_SCORING
1,136,2038529879713835008,290.58386,29.17175,K,dwarf,89.55,K,0.5043245869218366,HOST_SCORING
1,137,703746854061790720,128.15125,26.631083,K,dwarf,85.85,K,0.503593508967456,HOST_SCORING
1,138,1156880678475661056,227.66115,5.0165915,K,dwarf,85.79,K,0.5032858735035388,HOST_SCORING
1,139,1053781019327601920,156.31317,65.55453,K,dwarf,90.49,K,0.5029198020204193,HOST_SCORING
1,140,333517890006992000,40.015373,37.33729,K,dwarf,84.8,K,0.5026726135585305,HOST_SCORING
1,141,673323401681646976,118.46307,19.801771,K,dwarf,90.38,K,0.5023046010902882,HOST_SCORING
1,142,980189228612704896,108.8443,50.502968,K,dwarf,81.13,K,0.5009525732782268,HOST_SCORING
1,143,580222117158135936,135.29631,4.9430194,K,dwarf,85.3,K,0.5003790993745945,HOST_SCORING
1,144,271624284541665664,62.90669,50.582294,K,dwarf,92.65,K,0.5000153000851326,HOST_SCORING
2,1,432750669838235648,44.071182,43.677654,M,dwarf,99.86,M_LATE,0.7779323650034746,HOST_SCORING
2,2,1647239323747426048,235.56238,68.706535,M,dwarf,98.58,M_LATE,0.6596153478909519,HOST_SCORING
2,3,210741302047545728,86.03351,48.07883,M,dwarf,100.0,M_LATE,0.5928,HOST_SCORING
2,4,940039595155578240,105.60728,36.306118,M,dwarf,100.0,M_LATE,0.5927989717406281,HOST_SCORING
